farmer_address,position_index,glp_amount
0x500dd643792a3d283c0d3db3af9b69ad6b862aae,2,397.331289120975404399
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,1,28476.529889062207163149
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,2,28470.861447377575544547
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,3,37031.032278503405756766
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,6,18952.205270084791454381
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,7,28429.718495643230612457
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,8,18953.145800050541359879
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,9,18950.32405437834713207
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,10,16614.092964809621129769
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,11,36048.698743534601911597
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,12,6638.029999999999998398
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,13,12058.87668075999999925
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,16,9482.899999999999997947
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,17,15004.921637439999998554
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,18,9482.899999999999997384
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,19,11701.598940359999997498
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,20,9482.899999999999999431
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,32,47379.230817809052981275
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,33,47384.788333074098559925
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,35,23688.439899581457731544
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,36,47375.25521314031996055
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,37,50707.887410410717890764
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,38,53934.827750135999996768
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,43,14721.024249999999998764
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,44,28405.094615075008633966
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,45,41528.460576645601738606
0xd22314d6b6cb3863c0bea5aa92ceb9dfebd2f9c1,46,5996.216306752132541548
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,1,135148.239877557951240303
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,5,21030.415439224499997051
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,6,28443.569908974263423692
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,8,26191.579985252818259459
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,9,59058.86566314982645794
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,10,47358.924692380668651835
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,11,9471.78472906801719065
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,12,18943.569458144878303299
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,13,28415.354435740690894588
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,14,47358.924524882370063065
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,15,47358.924524882369115503
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,16,47358.924524882368168101
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,17,47358.924524882367220688
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,18,94717.849398755070259349
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,19,119406.38790470275977575
0xea00739f02d4134e78c51a8c4ed6ceeca6c19d53,20,106912.190081877882678069
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,2,0.094271896524592863
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,4,13299.999999955033183271
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,5,24699.999999287006260346
0xf9748b92ca6b8e220fd220f56ce527869e34bb66,7,16862.499999315444294207